#version, mean, sd, min, max
"405_796_286_1204" 329.5 2.598076211353316 328 334 
"406_796_287_1204" 328 0 328 328 
"407_796_287_1205" 205.01 0.999949998749939 204 206 
"409_796_287_1207" 304.9 0.7681145747868612 304 306 
"412_796_287_1210" 327.185 0.38829756630707674 327 328 
"413_796_287_1211" 329 0 329 329 
"414_797_287_1211" 204.12 1.124988888834017 203 207 
"415_797_288_1211" 203.24 0.42708313008125254 203 204 
"416_797_288_1212" 204.015 0.8571901772652325 203 206 
"417_797_288_1213" 205.015 0.12155245781143217 205 206 
"418_799_288_1213" 205.44 1.4340153416194696 203 209 
"419_799_288_1214" 327.62 0.7782030583337455 327 329 
"420_800_288_1214" 326.87 0.4930517214248426 325 327 
"421_800_289_1214" 204.055 0.9010965542049303 203 205 
"422_800_289_1215" 327 0 327 327 
"423_800_289_1216" 326.67 0.933327380933397 325 329 
"424_800_290_1217" 327.25 0.4330127018922193 327 328 
"425_801_291_1217" 326 1 325 327 
"426_801_292_1217" 207.04 0.28 207 209 
"434_802_292_1227" 205 0 205 205 
"436_802_292_1228" 236.5 0.8660254037844386 236 238 
"437_802_292_1229" 235 0 235 235 
"438_803_292_1229" 359.44 1.580000000000001 358 362 
"439_803_292_1230" 355.23 0.9365361712181761 354 357 
"440_804_292_1230" 232.17 0.6173329733620257 230 233 
"482_807_295_1273" 366.07 2.40730139367716 363 370 

"484_807_295_1275" 245.375 1.7928678144247 244 250 
"485_807_295_1276" 372.645 0.9843652777297682 372 376 
"486_807_295_1277" 368.95 0.7399324293474361 368 370 
"487_808_295_1277" 366.96 1.2281693694275213 365 369 
"488_808_295_1278" 372.875 1.466074691139575 370 377 
"_808_295_1278" 371.06 1.3062924634246356 369 373 
"489_808_295_1279" 242.14 1.1749042514179593 241 244 
"490_808_295_1280" 208.98 1.2204917041913919 207 211 
"491_808_295_1281" 211.335 0.47199046600540495 211 212 
"493_808_295_1283" 209.145 0.6737766692309859 208 211 
"494_808_295_1284" 330.98 0.7480641683706016 329 332 
"_808_295_1284" 335.295 0.4560427611529427 335 336 
"496_808_295_1286" 332.77 1.2558264211267465 329 334 
"_808_295_1286" 210.88 0.4749736834815167 209 211 
"498_808_295_1289" 120 0 120 120 
"499_808_295_1290" 121.08 0.9967948635501713 120 122 
"500_808_295_1291" 118.365 2.042492350046874 118 131 
"502_808_295_1293" 117.12 0.4749736834815176 117 119 
"503_808_295_1294" 118 0 118 118 
"504_808_295_1295" 118.08 0.39191835884530835 118 120 
"505_808_295_1296" 117.08 0.39191835884530807 117 119 
"506_808_295_1297" 113 0 113 113 
"507_808_295_1298" 117 0 117 117 
"508_808_295_1299" 110 0 110 110 
"509_808_295_1300" 119.01 0.9999499987499388 118 120 
"510_808_295_1301" 78 0 78 78 
"511_808_295_1302" 110 0 110 110 
"513_808_295_1304" 118 0 118 118 
"514_808_296_1304" 116 0 116 116 

"526_808_296_1316" 111 0 111 111 
"527_808_296_1317" 119 0 119 119 
"528_808_296_1319" 118 0 118 118 
"529_808_296_1320" 119.05 0.3122498999199212 119 121 
"530_808_296_1321" 117 0 117 117 
"531_808_296_1322" 123.55 1.4309088021254177 119 124 
"532_808_296_1323" 112.17 0.5577633906953733 112 114 
"533_808_296_1324" 115 0 115 115 
"534_808_296_1326" 119 0 119 119 
"535_808_296_1327" 121 0 121 121 
"536_812_296_1327" 120 0 120 120 
"537_812_296_1329" 118 0 118 118 
"538_813_296_1329" 118 0 118 118 
"540_813_296_1331" 117 0 117 117 
"541_813_296_1332" 116.13 0.49305172142484244 116 118 
"542_814_296_1332" 119 0 119 119 
"543_814_296_1333" 114.1 0.4358898943540669 114 116 
"544_814_296_1334" 119 0 119 119 
"545_814_296_1335" 120 0 120 120 
"546_815_296_1335" 119 0 119 119 
"547_815_296_1336" 113 0 113 113 
"548_815_297_1336" 118 0 118 118 
"549_815_298_1336" 113 0 113 113 
"550_817_298_1336" 117 0 117 117 
"551_818_298_1336" 111 0 111 111 
"552_820_298_1336" 116 0 116 116 
"553_820_298_1338" 115 0 115 115 
"554_820_298_1339" 114.08 0.391918358845308 114 116 
"555_820_298_1340" 117 0 117 117 
"556_820_298_1341" 115.18 0.5723635208501665 115 117 
"557_820_298_1342" 117.16 0.5425863986500206 117 119 
"558_820_298_1343" 113 0 113 113 
"559_820_298_1344" 100.08 0.27129319932500995 100 101 
"560_820_298_1345" 100 0 100 100 
"561_820_298_1346" 98 0 98 98 
"562_820_298_1347" 96 0 96 96 
"563_820_298_1348" 95 0 95 95 
"564_820_298_1349" 97 0 97 97 

"_820_298_1350" 100 0 100 100 
"_820_298_1351" 96 0 96 96 
